Judeg,Nationality,Gender
Panel A (1-2-5),,
Judge 1 BRUN Aristid,AUT,M
Judge 2 ROSLAN Rossharisham,MAS,M
Judge 3 AXTELIUS Peter,SWE,M
Judge 4 MIRZA KHANLARI Gholamreza,IRI,M
Judge 5 SOROKINA Anna,UKR,F
Judge 6 BANUELOS Ricardo,MEX,M
Judge 7 BOUSSARD Michel,FRA,M
Alternate NOVOTNA Hana,CZE,F
Panel B (3-4-6),,
Judge 1 BARBOSA Ana Virginia,BRA,F
Judge 2 TOULOUDIS Nikolaos,GRE,M
Judge 3 BEDDOE Valerie,AUS,F
Judge 4 SHOLTIS Christina,USA,F
Judge 5 STRITT BURK Carmen,SUI,F
Judge 6 ITO Masaaki,JPN,M
Judge 7 MANZONI Renato,ITA,M
Alternate RIOS HENAO Maria C.,COL,F
Legend:,,
TDC,,